('6677f9697acf35542d8eeb54', 'WRO', 'TZL', 100, '2024-06-25', '04:39:00', 'Air France', '9 hours', 352)
('6677f9697acf35542d8eeb55', 'WRO', 'CIY', 100, '2024-06-25', '17:03:00', 'Air France', '13 hours', 298)
('6677f9697acf35542d8eeb56', 'WRO', 'HRI', 100, '2024-06-24', '20:09:00', 'Lufthansa', '11 hours', 382)
('6677f9697acf35542d8eeb59', 'LBC', 'RTM', 100, '2024-06-29', '09:20:00', 'Ryanair', '2 hours', 99)
('6677f9697acf35542d8eeb5a', 'LBC', 'IEG', 100, '2024-06-27', '07:00:00', 'British Airways', '2 hours', 322)
('6677f9697acf35542d8eeb5b', 'LBC', 'AJA', 100, '2024-06-24', '10:37:00', 'Lufthansa', '2 hours', 378)
('6677f9697acf35542d8eeb5c', 'LBC', 'BJV', 100, '2024-07-01', '07:09:00', 'Lufthansa', '14 hours', 311)
('6677f9697acf35542d8eeb5e', 'BZG', 'OMR', 100, '2024-07-01', '10:50:00', 'British Airways', '13 hours', 365)
('6677f9697acf35542d8eeb5f', 'BZG', 'TGD', 100, '2024-06-29', '12:44:00', 'Air France', '9 hours', 406)
('6677f9697acf35542d8eeb60', 'BZG', 'OUD', 100, '2024-06-24', '22:30:00', 'British Airways', '9 hours', 128)
('6677f9697acf35542d8eeb61', 'BZG', 'RNS', 100, '2024-07-03', '02:33:00', 'Lufthansa', '5 hours', 206)
('6677f96a7acf35542d8eeb63', 'BES', 'NDJ', 100, '2024-06-27', '03:36:00', 'Ryanair', '9 hours', 417)
('6677f96a7acf35542d8eeb64', 'BES', 'AAZ', 100, '2024-07-01', '16:38:00', 'Ryanair', '5 hours', 364)
('6677f96a7acf35542d8eeb68', 'MST', 'BSA', 100, '2024-06-24', '16:47:00', 'Air France', '1 hours', 467)
('6677f96a7acf35542d8eeb6d', 'ANR', 'IKA', 100, '2024-06-27', '15:07:00', 'British Airways', '14 hours', 108)
('6677f96a7acf35542d8eeb6e', 'ANR', 'IAS', 100, '2024-07-02', '15:42:00', 'Ryanair', '5 hours', 406)
('6677f96a7acf35542d8eeb6f', 'ANR', 'ZTR', 100, '2024-06-30', '03:36:00', 'Lufthansa', '13 hours', 214)
('6677f96a7acf35542d8eeb70', 'ANR', 'MSY', 100, '2024-06-25', '05:02:00', 'Lufthansa', '14 hours', 87)
('6677f96a7acf35542d8eeb72', 'HAJ', 'DDG', 100, '2024-07-01', '21:15:00', 'Air France', '6 hours', 152)
('6677f96a7acf35542d8eeb73', 'HAJ', 'MVD', 100, '2024-07-01', '22:30:00', 'Air France', '9 hours', 101)
('6677f96a7acf35542d8eeb74', 'HAJ', 'SAN', 100, '2024-06-29', '15:41:00', 'Ryanair', '9 hours', 362)
('6677f96a7acf35542d8eeb75', 'HAJ', 'ZAD', 100, '2024-07-01', '23:57:00', 'Air France', '13 hours', 297)
('6677f96a7acf35542d8eeb77', 'PAD', 'SRE', 100, '2024-06-30', '15:19:00', 'Ryanair', '10 hours', 245)
('6677f96a7acf35542d8eeb78', 'PAD', 'LRU', 100, '2024-07-02', '15:13:00', 'Air France', '7 hours', 208)
('6677f96a7acf35542d8eeb7c', 'TRV', 'JOG', 100, '2024-06-30', '13:12:00', 'Ryanair', '6 hours', 308)
('6677f96a7acf35542d8eeb81', 'KIN', 'LXA', 100, '2024-07-03', '16:48:00', 'British Airways', '9 hours', 136)
('6677f96a7acf35542d8eeb82', 'KIN', 'ZAZ', 100, '2024-06-24', '23:10:00', 'British Airways', '6 hours', 208)
('6677f96a7acf35542d8eeb83', 'KIN', 'ESB', 100, '2024-06-24', '06:58:00', 'Air France', '12 hours', 195)
('6677f96a7acf35542d8eeb86', 'PUF', 'SKG', 100, '2024-06-24', '05:19:00', 'Lufthansa', '10 hours', 282)
('6677f96a7acf35542d8eeb87', 'PUF', 'SNN', 100, '2024-06-28', '08:26:00', 'British Airways', '12 hours', 405)
('6677f96b7acf35542d8eeb8b', 'SUV', 'BLL', 100, '2024-06-30', '07:01:00', 'Ryanair', '13 hours', 104)
('6677f96b7acf35542d8eeb8c', 'SUV', 'DLA', 100, '2024-06-28', '10:00:00', 'Lufthansa', '10 hours', 54)
('6677f96b7acf35542d8eeb8d', 'SUV', 'NOU', 100, '2024-06-26', '00:05:00', 'EasyJet', '5 hours', 89)
('6677f96b7acf35542d8eeb90', 'CZL', 'DSA', 100, '2024-07-02', '17:21:00', 'EasyJet', '1 hours', 469)
('6677f96b7acf35542d8eeb91', 'CZL', 'ORU', 100, '2024-07-01', '06:38:00', 'Ryanair', '10 hours', 164)
('6677f96b7acf35542d8eeb95', 'SMF', 'LNZ', 100, '2024-07-02', '22:32:00', 'Lufthansa', '12 hours', 182)
('6677f96b7acf35542d8eeb96', 'SMF', 'TRF', 100, '2024-06-26', '10:32:00', 'Ryanair', '1 hours', 360)
('6677f96b7acf35542d8eeb97', 'SMF', 'UET', 100, '2024-06-30', '10:38:00', 'Air France', '10 hours', 192)
